,날짜,활성사용자,웰컴 및 event 수신 제외 활성사용자,신규 사용자,재방문사용자,누적사용자,전체 세션 수,세션 당 평균 메시지 수,친구수,채널 추가수 합계,채팅 요청 친구수
488,2021-05-11,245,245,7,238,2139,278,1.7,1810,7,194
489,2021-05-12,227,227,7,220,2146,253,1.6,1817,7,164
490,2021-05-13,214,214,4,210,2150,266,1.58,1820,3,172
491,2021-05-14,142,142,6,136,2156,107,1.37,1825,6,112
492,2021-05-15,23,23,1,22,2157,24,1.9,1824,0,18
493,2021-05-16,9,9,1,8,2158,12,1.5,1824,0,9
494,2021-05-17,177,177,2,175,2160,202,1.49,1827,3,185
495,2021-05-18,202,202,4,198,2164,228,1.46,1831,4,202
496,2021-05-19,77,77,2,75,2166,95,1.62,1832,2,77
497,2021-05-20,182,182,4,178,2170,205,1.37,1833,2,182
498,2021-05-21,211,202,49,162,2219,251,2.36,1881,49,202
499,2021-05-22,46,43,13,33,2232,59,2.71,1895,14,43
500,2021-05-23,19,19,5,14,2237,20,2.6,1898,4,19
501,2021-05-24,219,219,9,210,2246,260,1.56,1904,8,219
502,2021-05-25,232,232,11,221,2257,263,1.58,1913,9,232
503,2021-05-26,236,236,7,229,2264,274,1.46,1918,6,236
504,2021-05-27,229,229,4,225,2268,251,1.57,1922,4,230
505,2021-05-28,183,183,7,176,2275,227,1.93,1929,7,183
506,2021-05-29,29,29,2,27,2277,35,2.0,1929,0,29
507,2021-05-30,14,14,2,12,2279,18,1.72,1931,2,14
508,2021-05-31,233,233,7,226,2286,263,1.44,1938,7,233
509,2021-06-01,247,247,4,243,2290,261,1.39,1940,2,247
510,2021-06-02,235,235,1,234,2291,268,1.38,1941,1,235
511,2021-06-03,233,233,7,226,2298,262,1.5,1947,7,233
512,2021-06-04,216,216,4,212,2302,240,1.57,1950,3,216
513,2021-06-05,52,52,0,52,2302,68,1.54,1949,1,52
514,2021-06-06,24,24,0,24,2302,24,1.75,1949,0,25
515,2021-06-07,247,247,2,245,2304,278,1.4,1951,2,247
516,2021-06-08,258,258,13,245,2317,285,1.49,1963,12,258
517,2021-06-09,247,247,7,240,2324,268,1.38,1970,7,247
518,2021-06-10,243,243,4,239,2328,268,1.46,1975,5,243
519,2021-06-11,204,204,9,195,2337,229,1.56,1984,9,204
520,2021-06-12,41,41,2,39,2339,51,2.14,1986,2,41
521,2021-06-13,20,20,1,19,2340,22,2.09,1987,1,20
522,2021-06-14,217,217,3,214,2343,251,1.45,1990,4,217
523,2021-06-15,179,179,3,176,2346,193,1.41,1992,3,179
524,2021-06-16,172,172,2,170,2348,201,1.55,1993,1,172
525,2021-06-17,159,159,0,159,2348,176,1.46,1994,1,160
526,2021-06-18,111,111,1,110,2349,118,1.4,1993,1,111
527,2021-06-19,24,24,0,24,2349,28,1.39,1993,0,24
528,2021-06-20,3,3,1,2,2350,3,3.0,1994,1,3
529,2021-06-21,99,99,2,97,2352,117,1.44,1994,1,99
530,2021-06-22,102,101,7,95,2359,118,1.54,2000,6,101
531,2021-06-23,84,84,1,83,2360,92,1.34,2001,1,84
532,2021-06-24,98,98,2,96,2362,108,1.46,2000,1,98
533,2021-06-25,82,82,0,82,2362,96,1.65,1999,0,82
534,2021-06-26,9,9,0,9,2362,9,2.11,1999,0,9
535,2021-06-27,4,4,0,4,2362,4,1.25,1998,0,4
536,2021-06-28,85,85,1,84,2363,105,1.48,1999,1,85
537,2021-06-29,92,92,2,90,2365,109,1.83,2001,2,92
538,2021-06-30,104,104,1,103,2366,121,1.5,2002,1,104
539,2021-07-01,102,102,5,97,2371,125,1.55,2007,5,102
540,2021-07-02,78,78,1,77,2372,91,1.47,2007,1,78
541,2021-07-03,18,18,0,18,2372,19,1.63,2008,1,19
542,2021-07-04,7,7,1,6,2373,9,5.0,2009,1,7
543,2021-07-05,100,100,1,99,2374,122,1.61,2010,1,101
544,2021-07-06,118,118,2,116,2376,141,1.48,2010,2,118
545,2021-07-07,121,120,3,118,2379,158,1.51,2013,4,120
546,2021-07-08,106,106,1,105,2380,138,1.3,2014,1,106
547,2021-07-09,116,115,8,108,2388,152,2.25,2020,6,115
548,2021-07-10,23,22,2,21,2390,28,2.18,2021,1,22
549,2021-07-11,3,3,0,3,2390,5,1.4,2021,0,3
550,2021-07-12,115,115,6,109,2396,142,1.64,2026,5,115
551,2021-07-13,142,142,2,140,2398,249,2.4,2026,0,142
552,2021-07-14,120,120,2,118,2400,142,2.28,2026,2,120
553,2021-07-15,121,121,0,121,2400,167,1.47,2025,0,121
554,2021-07-16,92,92,2,90,2402,138,1.8,2025,1,92
555,2021-07-17,21,21,0,21,2402,30,1.4,2025,0,21
556,2021-07-18,4,4,0,4,2402,4,1.0,2025,0,4
557,2021-07-19,121,121,2,119,2404,143,1.57,2027,2,121
558,2021-07-20,113,113,1,112,2405,144,1.47,2028,1,113
559,2021-07-21,108,108,0,108,2405,135,1.41,2027,0,108
560,2021-07-22,125,125,0,125,2405,190,1.56,2027,0,125
561,2021-07-23,101,101,0,101,2405,129,1.37,2027,0,101
562,2021-07-24,19,19,0,19,2405,26,1.73,2027,0,19
563,2021-07-25,4,4,0,4,2405,5,1.8,2027,0,4
564,2021-07-26,120,120,2,118,2407,151,1.32,2028,2,121
565,2021-07-27,118,118,2,116,2409,144,1.42,2031,3,118
566,2021-07-28,130,130,3,127,2412,156,1.35,2034,3,130
567,2021-07-29,120,120,0,120,2412,153,1.35,2035,1,120
568,2021-07-30,100,100,1,99,2413,133,1.55,2035,0,100
569,2021-07-31,29,29,1,28,2414,33,1.61,2036,1,30
570,2021-08-01,3,3,0,3,2414,3,1.0,2036,0,3
571,2021-08-02,105,105,1,104,2415,127,1.47,2036,0,105
572,2021-08-03,117,117,2,115,2417,130,1.48,2039,3,117
573,2021-08-04,112,112,0,112,2417,131,1.49,2039,0,112
574,2021-08-05,111,111,0,111,2417,124,1.37,2039,0,111
575,2021-08-06,91,91,0,91,2417,135,1.6,2039,0,91
576,2021-08-07,24,24,2,22,2419,25,2.32,2039,1,24
577,2021-08-08,5,5,0,5,2419,7,1.86,2039,0,5
578,2021-08-09,96,96,0,96,2419,116,1.82,2039,0,99
579,2021-08-10,109,109,1,108,2420,134,1.38,2039,0,109
580,2021-08-11,118,118,0,118,2420,149,1.43,2039,0,118
581,2021-08-12,111,111,2,109,2422,138,1.55,2041,2,111
582,2021-08-13,78,78,2,76,2424,156,1.68,2043,2,78
583,2021-08-14,11,11,0,11,2424,23,3.22,2043,0,11
584,2021-08-15,4,4,0,4,2424,15,17.53,2042,0,4
585,2021-08-16,44,44,0,44,2424,61,2.69,2042,0,44
586,2021-08-17,85,85,2,83,2426,105,1.61,2044,2,87
587,2021-08-18,74,74,0,74,2426,89,1.8,2044,0,74
588,2021-08-19,77,77,0,77,2426,84,1.35,2043,0,77
589,2021-08-20,64,64,0,64,2426,72,1.43,2044,1,64
590,2021-08-21,14,13,9,5,2435,14,2.86,2045,1,13
591,2021-08-22,5,5,0,5,2435,5,3.0,2045,1,5
592,2021-08-23,70,70,0,70,2435,95,1.42,2045,1,70
593,2021-08-24,69,69,1,68,2436,77,1.39,2046,1,69
594,2021-08-25,75,75,1,74,2437,87,1.4,2048,2,75
595,2021-08-26,60,60,0,60,2437,72,1.5,2048,0,60
596,2021-08-27,67,67,0,67,2437,82,1.43,2048,0,67
597,2021-08-28,16,16,1,15,2438,18,1.83,2049,1,16
598,2021-08-29,5,5,0,5,2438,7,1.29,2049,0,5
599,2021-08-30,92,92,2,90,2440,98,1.34,2050,2,92
600,2021-08-31,91,91,0,91,2440,103,1.47,2050,0,91
601,2021-09-01,146,144,7,139,2447,172,1.48,2058,9,145
602,2021-09-02,154,154,8,146,2455,188,1.47,2065,8,154
603,2021-09-03,138,138,4,134,2459,164,1.44,2069,4,138
604,2021-09-04,47,47,2,45,2461,62,1.84,2071,2,47
605,2021-09-05,13,12,0,13,2461,14,3.07,2070,1,13
606,2021-09-06,167,165,2,165,2463,211,1.44,2071,2,166
607,2021-09-07,166,166,3,163,2466,188,1.36,2074,3,166
608,2021-09-08,181,181,4,177,2470,221,1.33,2076,3,181
609,2021-09-09,183,183,7,176,2477,220,1.49,2085,9,183
610,2021-09-10,137,137,2,135,2479,173,1.43,2086,1,137
611,2021-09-11,36,36,0,36,2479,43,1.58,2086,0,36
612,2021-09-12,13,13,0,13,2479,16,1.5,2086,0,13
613,2021-09-13,156,156,4,152,2483,198,1.36,2088,3,156
614,2021-09-14,177,172,14,163,2497,207,1.48,2101,13,172
615,2021-09-15,174,174,5,169,2502,220,1.58,2107,6,174
616,2021-09-16,169,169,1,168,2503,187,1.36,2108,2,169
617,2021-09-17,113,113,3,110,2506,138,1.57,2111,3,113
618,2021-09-18,28,28,4,24,2510,33,1.85,2115,4,28
619,2021-09-19,3,3,0,3,2510,3,1.33,2115,0,3
620,2021-09-20,6,6,0,6,2510,6,1.83,2114,0,6
621,2021-09-21,8,8,0,8,2510,8,1.13,2113,0,8
622,2021-09-22,13,13,1,12,2511,15,2.27,2114,1,13
623,2021-09-23,107,107,3,104,2514,130,1.32,2117,3,107
624,2021-09-24,121,121,0,121,2514,145,1.61,2116,0,121
625,2021-09-25,48,48,1,47,2515,59,1.93,2117,1,48
626,2021-09-26,19,19,0,19,2515,21,1.43,2117,0,19
627,2021-09-27,199,199,3,196,2518,245,1.49,2120,3,199
628,2021-09-28,221,221,3,218,2521,266,1.61,2123,3,221
629,2021-09-29,209,209,0,209,2521,256,1.55,2123,0,209
630,2021-09-30,387,384,64,323,2585,494,1.88,2181,61,384
631,2021-10-01,397,386,76,321,2661,501,1.9,2256,76,387
632,2021-10-02,92,92,8,84,2669,115,1.67,2264,8,92
633,2021-10-03,33,31,4,29,2673,38,1.92,2267,4,31
634,2021-10-04,154,154,6,148,2679,216,1.92,2272,5,155
635,2021-10-05,307,304,21,286,2700,397,1.63,2291,19,305
636,2021-10-06,307,307,4,303,2704,415,1.52,2295,4,307
637,2021-10-07,272,272,3,269,2707,349,1.41,2298,3,272
638,2021-10-08,217,216,6,211,2713,297,1.51,2304,6,216
639,2021-10-09,74,73,2,72,2715,92,1.52,2306,2,73
640,2021-10-10,23,23,1,22,2716,23,1.52,2306,1,23
641,2021-10-11,155,155,4,151,2720,202,1.78,2310,4,155
642,2021-10-12,329,329,11,318,2731,404,1.54,2322,12,329
643,2021-10-13,305,305,6,299,2737,401,1.5,2327,5,305
644,2021-10-14,305,305,7,298,2744,398,1.42,2333,6,305
645,2021-10-15,268,267,6,262,2750,351,1.43,2338,5,267
646,2021-10-16,100,100,0,100,2750,129,1.64,2338,0,100
647,2021-10-17,24,24,2,22,2752,26,1.88,2339,1,24
648,2021-10-18,316,315,9,307,2761,405,1.78,2345,7,316
